,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
163,0.15466737747192383,0.0024767798585255104,0.03642868995666504,0.0065402518974664635,0.8676767676767676,4,"{'C': 0.8676767676767676, 'degree': 4}",0.6459854014598541,0.6678832116788321,0.6532846715328468,0.6654478976234004,0.6819012797074955,0.6629004924004859,0.012417173555613384,355,0.7799086757990867,0.7890410958904109,0.7853881278538812,0.7900502053856686,0.7800091282519398,0.7848794466361974,0.004306817642312266
164,0.12647829055786133,0.016024413281672187,0.03829865455627442,0.005068227282613595,0.8868686868686868,1,"{'C': 0.8868686868686868, 'degree': 1}",0.6934306569343066,0.6806569343065694,0.7208029197080292,0.6928702010968921,0.7111517367458866,0.6997824897583368,0.014318035049796686,179,0.7493150684931507,0.7621004566210046,0.7429223744292237,0.7512551346417161,0.7507987220447284,0.7512783512459646,0.006181025411034452
165,0.11594433784484863,0.008121649552487798,0.031227779388427735,0.0010686889070061305,0.8868686868686868,2,"{'C': 0.8868686868686868, 'degree': 2}",0.6970802919708029,0.6861313868613139,0.7153284671532847,0.7020109689213894,0.7020109689213894,0.700512416765636,0.009408508573973719,161,0.7858447488584475,0.7908675799086758,0.7881278538812785,0.7863989046097672,0.7836604290278412,0.786979903257202,0.0024115084274559757
166,0.13436617851257324,0.01736100422080116,0.031729507446289065,0.0018528513334371357,0.8868686868686868,3,"{'C': 0.8868686868686868, 'degree': 3}",0.6843065693430657,0.6970802919708029,0.7007299270072993,0.7020109689213894,0.7184643510054844,0.7005184216496083,0.010945078375401106,156,0.8031963470319635,0.810958904109589,0.8027397260273973,0.8087631218621634,0.8041989958922866,0.8059714189846799,0.003284964540408056
167,0.15133366584777833,0.00341255277838317,0.030773258209228514,0.0007614308223414384,0.8868686868686868,4,"{'C': 0.8868686868686868, 'degree': 4}",0.6423357664233577,0.6715328467153284,0.6514598540145985,0.6654478976234004,0.6819012797074955,0.6625355288968361,0.01410791906745258,356,0.7812785388127854,0.7904109589041096,0.7863013698630137,0.7905066179826563,0.7822911912368782,0.7861577353598885,0.003893071893881874
168,0.09212679862976074,0.0087722747657455,0.03024907112121582,0.00040856824065838926,0.906060606060606,1,"{'C': 0.906060606060606, 'degree': 1}",0.6916058394160584,0.6824817518248175,0.7208029197080292,0.6928702010968921,0.7111517367458866,0.6997824897583367,0.01403617562398796,180,0.7493150684931507,0.7625570776255708,0.7438356164383562,0.7526243724326791,0.7512551346417161,0.7519174539262945,0.006102925531180596
169,0.10351071357727051,0.0019441718829356612,0.029552125930786134,0.00037931646954654584,0.906060606060606,2,"{'C': 0.906060606060606, 'degree': 2}",0.6970802919708029,0.6861313868613139,0.7153284671532847,0.7038391224862889,0.7038391224862889,0.7012436781915958,0.009566285343264896,132,0.7881278538812785,0.791324200913242,0.7881278538812785,0.7873117298037425,0.7836604290278412,0.7877104135014765,0.0024482359088265596
170,0.13666844367980957,0.016330681024503687,0.030223703384399413,0.0008676328062389408,0.906060606060606,3,"{'C': 0.906060606060606, 'degree': 3}",0.6843065693430657,0.6952554744525548,0.7025547445255474,0.7020109689213894,0.7184643510054844,0.7005184216496083,0.011126126523348519,156,0.8045662100456621,0.8123287671232877,0.8031963470319635,0.8096759470561388,0.8055682336832497,0.8070671009880603,0.003405143263281767
171,0.16728677749633789,0.015051944255328662,0.03281583786010742,0.0016200786031557797,0.906060606060606,4,"{'C': 0.906060606060606, 'degree': 4}",0.6441605839416058,0.6751824817518248,0.6532846715328468,0.6672760511882998,0.6837294332723949,0.6647266443373945,0.014358353530261438,353,0.782648401826484,0.7922374429223744,0.7885844748858447,0.7918758557736193,0.7836604290278412,0.7878013208872326,0.004014820137301191
172,0.0920781135559082,0.00514805343419682,0.029529666900634764,0.0007333543362668506,0.9252525252525252,1,"{'C': 0.9252525252525252, 'degree': 1}",0.6897810218978102,0.6806569343065694,0.718978102189781,0.6928702010968921,0.7111517367458866,0.6986875992473879,0.01417979797296286,207,0.7497716894977169,0.763013698630137,0.7429223744292237,0.7521679598356915,0.7526243724326791,0.7521000189650897,0.006465883446018586
173,0.11023364067077637,0.0027597390334083197,0.030527591705322266,0.0013857568598102646,0.9252525252525252,2,"{'C': 0.9252525252525252, 'degree': 2}",0.6970802919708029,0.6861313868613139,0.7171532846715328,0.7038391224862889,0.7038391224862889,0.7016086416952455,0.010115704451989331,117,0.7885844748858447,0.7936073059360731,0.7885844748858447,0.7882245549977179,0.7850296668188042,0.7888060955048569,0.0027477065339896623
174,0.12458972930908203,0.0005782317270592691,0.029924392700195312,0.0007047247810473919,0.9252525252525252,3,"{'C': 0.9252525252525252, 'degree': 3}",0.6861313868613139,0.6952554744525548,0.7043795620437956,0.7020109689213894,0.716636197440585,0.7008827179439276,0.01010881420542107,139,0.8059360730593608,0.8132420091324201,0.8036529680365296,0.810588772250114,0.8055682336832497,0.8077976112323348,0.0035509312628650403
175,0.15292558670043946,0.0016046277791564854,0.031218910217285158,0.00040075593363327424,0.9252525252525252,4,"{'C': 0.9252525252525252, 'degree': 4}",0.6423357664233577,0.677007299270073,0.6532846715328468,0.6745886654478976,0.6873857404021938,0.6669204286152738,0.016551225263196044,352,0.7840182648401827,0.7945205479452054,0.791324200913242,0.7941579187585578,0.7863989046097672,0.790083967413391,0.004199784306020757
176,0.08898615837097168,0.0023144948259876206,0.030613517761230467,0.001074534201904667,0.9444444444444443,1,"{'C': 0.9444444444444443, 'degree': 1}",0.6916058394160584,0.6824817518248175,0.7208029197080292,0.6928702010968921,0.7111517367458866,0.6997824897583367,0.01403617562398796,180,0.7497716894977169,0.7643835616438356,0.7447488584474886,0.7521679598356915,0.7526243724326791,0.7527392883714823,0.006458828616024247
177,0.10659441947937012,0.0017522432484167604,0.029311513900756835,0.0004942214743614395,0.9444444444444443,2,"{'C': 0.9444444444444443, 'degree': 2}",0.6970802919708029,0.6861313868613139,0.7171532846715328,0.7038391224862889,0.7038391224862889,0.7016086416952455,0.010115704451989331,117,0.7890410958904109,0.7940639269406393,0.7904109589041096,0.7891373801916933,0.7854860794157918,0.789627888268529,0.002757939185763067
