,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
176,0.49039273262023925,0.019110544512052307,0.0005918502807617188,0.0004834074972082211,best,26,14,28,log_loss,"{'splitter': 'best', 'min_samples_split': 26, 'min_samples_leaf': 14, 'max_depth': 28, 'criterion': 'log_loss'}",0.5072992700729927,0.5145985401459854,0.541970802919708,0.5393053016453382,0.5356489945155393,0.5277645818599128,0.014066574094913149,107,0.7146118721461188,0.7077625570776256,0.7246575342465753,0.7151985394796896,0.6978548607941579,0.7120170727488334,0.008891626762221844
177,0.010075998306274415,0.0020023323293172734,0.000399017333984375,0.0004886944566570864,random,16,29,14,entropy,"{'splitter': 'random', 'min_samples_split': 16, 'min_samples_leaf': 29, 'max_depth': 14, 'criterion': 'entropy'}",0.5182481751824818,0.5,0.541970802919708,0.489945155393053,0.5594149908592322,0.521915824870895,0.02578475648606871,129,0.5602739726027397,0.5726027397260274,0.5625570776255707,0.5618439068918302,0.5659516202647193,0.5646458634221775,0.004389630902154743
178,0.408402156829834,0.02242729681204304,0.0002002716064453125,0.000400543212890625,best,21,42,13,log_loss,"{'splitter': 'best', 'min_samples_split': 21, 'min_samples_leaf': 42, 'max_depth': 13, 'criterion': 'log_loss'}",0.5054744525547445,0.5218978102189781,0.4981751824817518,0.5319926873857403,0.5484460694698354,0.52119724042221,0.01809282934086534,135,0.6132420091324201,0.5990867579908675,0.6123287671232877,0.6312186216339571,0.5951620264719306,0.6102076364704926,0.012690251602111154
179,0.22191848754882812,0.018501170340920373,0.0005984783172607421,0.0004886558798014232,best,26,13,25,gini,"{'splitter': 'best', 'min_samples_split': 26, 'min_samples_leaf': 13, 'max_depth': 25, 'criterion': 'gini'}",0.5711678832116789,0.5474452554744526,0.5675182481751825,0.5703839122486288,0.5850091407678245,0.5683048879755533,0.012060631950728963,8,0.7415525114155251,0.7424657534246575,0.7433789954337899,0.744408945686901,0.7380191693290735,0.7419650750579894,0.0021891886208083807
180,0.011885404586791992,0.0006534653905073936,0.0005984306335449219,0.0004886178769226071,random,15,20,14,log_loss,"{'splitter': 'random', 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_depth': 14, 'criterion': 'log_loss'}",0.4726277372262774,0.4835766423357664,0.4854014598540146,0.5210237659963437,0.5027422303473492,0.4930743671519503,0.016981056698168236,245,0.5885844748858448,0.5680365296803653,0.6050228310502284,0.6179826563213144,0.5686900958466453,0.5896633175568796,0.019731484926778405
181,0.00860610008239746,0.0009967409320264758,0.0009873390197753906,0.0006273674096489082,random,12,39,24,entropy,"{'splitter': 'random', 'min_samples_split': 12, 'min_samples_leaf': 39, 'max_depth': 24, 'criterion': 'entropy'}",0.5218978102189781,0.48175182481751827,0.4562043795620438,0.4753199268738574,0.5338208409506399,0.4937989564846075,0.029295927867687404,244,0.5561643835616439,0.5333333333333333,0.536986301369863,0.5385668644454586,0.5490643541761753,0.5428230473772949,0.008475641940080497
182,0.008085203170776368,0.00024297253187868982,0.00039033889770507814,0.00047826679967494955,random,31,40,22,log_loss,"{'splitter': 'random', 'min_samples_split': 31, 'min_samples_leaf': 40, 'max_depth': 22, 'criterion': 'log_loss'}",0.5145985401459854,0.4781021897810219,0.4981751824817518,0.4680073126142596,0.42230347349177333,0.47623733970295845,0.03140994613620829,263,0.5356164383561643,0.5242009132420091,0.5470319634703197,0.5216795983569147,0.5043359196713829,0.526572966619358,0.014313719854359334
183,0.008389091491699219,0.00047837810914694024,0.00039215087890625,0.0004804143810972869,random,35,25,9,gini,"{'splitter': 'random', 'min_samples_split': 35, 'min_samples_leaf': 25, 'max_depth': 9, 'criterion': 'gini'}",0.5072992700729927,0.49452554744525545,0.5109489051094891,0.5082266910420475,0.4826325411334552,0.500726590960648,0.010675157126067846,225,0.5401826484018265,0.5296803652968036,0.5511415525114155,0.5604746691008672,0.5203103605659516,0.5403579191753729,0.014400804549490111
184,0.5158215999603272,0.0270690376808265,0.0005965232849121094,0.00048706489452146146,best,27,15,22,log_loss,"{'splitter': 'best', 'min_samples_split': 27, 'min_samples_leaf': 15, 'max_depth': 22, 'criterion': 'log_loss'}",0.5218978102189781,0.5054744525547445,0.531021897810219,0.5283363802559415,0.546617915904936,0.5266696913489639,0.013354102088813147,113,0.7077625570776256,0.6990867579908676,0.7182648401826484,0.7083523505248744,0.6919214970333181,0.7050776005618669,0.00895331807088337
185,0.4938204288482666,0.01980406283564817,0.0004001140594482422,0.000490037694480031,best,35,14,11,log_loss,"{'splitter': 'best', 'min_samples_split': 35, 'min_samples_leaf': 14, 'max_depth': 11, 'criterion': 'log_loss'}",0.5255474452554745,0.5072992700729927,0.5218978102189781,0.5210237659963437,0.5173674588665448,0.5186271500820668,0.006232802873784467,167,0.6726027397260274,0.6675799086757991,0.6748858447488585,0.6745778183477864,0.6672752167959836,0.671384305658891,0.0033257158193956853
